no,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
284,588,toyota,avensis,2005,88659,2000,automatic,2,righthand,petrol
285,588,mazda,demio,2008,103000,1300,automatic,2,righthand,petrol
286,588,toyota,corolla rumion,2007,121351,1500,automatic,2,righthand,petrol
287,588,toyota,corolla rumion,2009,112598,1500,automatic,2,righthand,petrol
288,590,honda,fit,2009,79797,1290,automatic,2,righthand,petrol
289,590,honda,insight,2009,99902,1290,automatic,2,righthand,petrol
290,590,honda,fit,2011,85000,1300,automatic,2,righthand,petrol
291,590,nissan,tiida,2010,81000,1500,automatic,2,righthand,petrol
292,590,nissan,cube,2010,126000,1500,automatic,2,righthand,petrol
293,590,honda,step wgn,2006,112100,2400,automatic,2,righthand,petrol
294,590,nissan,tiida latio,2012,160200,1500,automatic,2,righthand,petrol
295,590,toyota,vitz,2005,104700,1000,cvt,2,righthand,petrol
296,599,honda,insight,2009,151348,1290,automatic,2,righthand,petrol
297,599,honda,fit,2011,178408,1490,automatic,4,righthand,petrol
298,599,daihatsu,esse,2011,105529,660,automatic,2,righthand,petrol
299,599,toyota,voxy,2002,98367,2000,automatic,2,righthand,petrol
300,599,mazda,demio,2004,141014,1300,automatic,2,righthand,petrol
301,599,nissan,march,2006,102824,1200,automatic,2,righthand,petrol
302,600,honda,fit,2009,66000,1300,automatic,2,righthand,petrol
303,600,toyota,ractis,2006,158000,1300,automatic,2,righthand,petrol
304,600,toyota,vitz,2007,180000,1000,automatic,2,righthand,petrol
305,600,mazda,demio,2003,90000,1300,automatic,2,righthand,petrol
306,600,mazda,premacy,2010,83000,2000,automatic,2,righthand,petrol
307,600,toyota,passo,2005,54235,1000,automatic,2,righthand,petrol
308,600,toyota,voxy,2007,158600,2000,automatic,2,righthand,petrol
309,600,honda,fit,2003,59000,1300,automatic,2,righthand,petrol
310,600,nissan,moco,2013,149900,660,automatic,2,righthand,petrol
311,600,toyota,passo,2009,111700,1000,automatic,2,righthand,petrol
312,606,mazda,carol,2004,59000,650,automatic,2,righthand,petrol
313,607,subaru,legacy b4,2003,143700,2000,automatic,4,righthand,petrol
314,607,nissan,sunny,2001,88000,1500,automatic,2,righthand,petrol
315,607,toyota,passo,2007,38282,1000,automatic,2,righthand,petrol
316,607,mazda,bongo truck,1994,160000,1490,manual,2,righthand,petrol
317,610,honda,fit,2002,49000,1330,automatic,2,righthand,petrol
318,610,toyota,bb,2007,101000,1290,automatic,4,righthand,petrol
319,610,mazda,demio,2005,88000,1300,automatic,2,righthand,petrol
320,616,honda,fit,2005,108200,1300,automatic,2,righthand,petrol
321,620,nissan,note,2008,86000,1500,automatic,2,righthand,petrol
322,620,mazda,demio,2010,111132,1300,automatic,2,righthand,petrol
323,623,toyota,ractis,2005,20952,1300,automatic,2,righthand,petrol
324,625,mazda,demio,2003,58385,1300,automatic,2,righthand,petrol
325,625,mitsubishi,colt,2004,135369,1300,automatic,2,righthand,petrol
326,625,toyota,porte,2007,90821,1300,automatic,2,righthand,petrol
327,625,toyota,passo,2009,148818,1300,automatic,2,righthand,petrol
328,625,nissan,march,2003,70259,1200,automatic,2,righthand,petrol
329,625,daihatsu,boon,2005,86154,1300,automatic,2,righthand,petrol
330,625,nissan,march,2002,71861,1200,automatic,2,righthand,petrol
331,625,honda,s-mx,1997,240961,2000,automatic,2,righthand,petrol
332,625,nissan,cube,2009,175065,1500,automatic,2,righthand,petrol
333,625,honda,step wgn,2005,156347,2000,automatic,2,righthand,petrol
334,625,mitsubishi,colt,2011,75528,1300,automatic,2,righthand,petrol
335,625,nissan,march,2003,68654,1240,automatic,2,righthand,petrol
336,625,chrysler,pt cruiser,2001,84174,2000,automatic,2,righthand,petrol
337,625,mitsubishi,colt,2009,87154,1300,automatic,2,righthand,petrol
338,625,nissan,march,2010,93741,1400,automatic,4,righthand,petrol
339,625,nissan,cube,2002,70875,1380,automatic,2,righthand,petrol
340,626,toyota,porte,2008,46800,1500,automatic,2,righthand,petrol
341,630,honda,fit,2010,92994,1290,automatic,2,righthand,petrol
342,630,toyota,passo,2005,47000,1000,automatic,2,righthand,petrol
343,630,honda,fit,2010,82000,1300,automatic,2,righthand,petrol
344,635,toyota,vitz,2007,71217,1000,automatic,2,righthand,petrol
345,635,mazda,demio,2009,46454,1300,automatic,2,righthand,petrol
346,635,suzuki,swift,2010,87800,1200,automatic,2,righthand,petrol
347,635,volkswagen,golf,2007,58263,1600,automatic,2,righthand,petrol
348,635,toyota,passo,2009,22749,1300,automatic,2,righthand,petrol
349,635,honda,fit,2009,62291,1300,automatic,2,righthand,petrol
350,635,toyota,raum,2009,63101,1500,automatic,2,righthand,petrol
351,635,suzuki,swift,2009,38407,1200,automatic,2,righthand,petrol
352,635,toyota,wish,2003,54358,1800,automatic,2,righthand,petrol
353,635,volkswagen,golf,2007,34782,1600,automatic,2,righthand,petrol
354,635,toyota,passo,2005,16890,1000,automatic,2,righthand,petrol
355,635,nissan,ad expert,2007,225216,1800,automatic,2,righthand,petrol
356,635,nissan,cube,2003,83848,1400,automatic,2,righthand,petrol
357,639,nissan,march,2004,117176,1400,automatic,4,righthand,petrol
358,640,honda,insight,2009,107914,1290,automatic,2,righthand,petrol
359,643,toyota,vitz,2005,53427,1300,automatic,2,righthand,petrol
360,649,toyota,ractis,2008,62756,1300,automatic,2,righthand,petrol
361,650,honda,insight,2009,112764,1290,automatic,2,righthand,petrol
362,650,honda,fit hybrid,2011,239644,1290,automatic,2,righthand,petrol
363,650,honda,fit,2011,279232,1290,automatic,2,righthand,petrol
364,650,honda,fit,2010,102400,1300,automatic,2,righthand,petrol
365,650,honda,fit,2007,69000,1300,automatic,2,righthand,petrol
366,650,nissan,note,2011,80900,1500,automatic,2,righthand,petrol
367,650,honda,fit,2010,166224,1300,automatic,2,righthand,petrol
368,650,nissan,tiida,2011,106000,1500,automatic,2,righthand,petrol
369,650,toyota,vitz,2006,92250,1300,automatic,2,righthand,petrol
370,650,suzuki,swift,2007,104500,1200,automatic,2,righthand,petrol
371,650,toyota,passo,2011,40000,1000,automatic,2,righthand,petrol
372,650,mazda,demio,2003,47000,1500,automatic,2,righthand,petrol
373,650,mitsubishi,colt,2011,45600,1300,automatic,2,righthand,petrol
374,650,toyota,ractis,2009,184100,1500,automatic,2,righthand,petrol
375,650,mazda,demio,2003,46000,1300,automatic,2,righthand,petrol
376,650,mazda,demio,2003,99000,1300,automatic,2,righthand,petrol
377,650,nissan,serena,2009,159800,2000,automatic,2,righthand,petrol
378,650,toyota,passo,2007,36500,1000,automatic,2,righthand,petrol
379,650,honda,edix,2005,124252,1700,automatic,2,righthand,petrol
380,650,nissan,tiida,2011,145400,1500,automatic,2,righthand,petrol
381,650,nissan,moco,2013,139500,660,automatic,2,righthand,petrol
382,650,suzuki,wagon r,2004,80100,660,automatic,2,righthand,petrol
383,650,daihatsu,move custom,2004,64700,660,automatic,2,righthand,petrol
384,650,mazda,premacy,2012,175500,2000,automatic,2,righthand,petrol
385,650,subaru,impreza anesis,2009,133000,1500,automatic,2,righthand,petrol
386,650,honda,step wgn,2005,109534,1990,automatic,2,righthand,petrol
387,653,toyota,passo,2007,73000,1000,automatic,2,righthand,petrol
388,653,toyota,voxy,2005,137084,1990,automatic,2,righthand,petrol
389,653,nissan,tiida,2004,73041,1500,automatic,2,righthand,petrol
390,653,mazda,premacy,2007,55101,2000,automatic,2,righthand,petrol
391,653,nissan,note,2008,99000,1500,automatic,2,righthand,petrol
392,653,honda,edix,2004,71000,1700,automatic,2,righthand,petrol
393,653,toyota,ractis,2006,89000,1300,automatic,2,righthand,petrol
394,653,toyota,ractis,2006,91000,1300,automatic,2,righthand,petrol
395,653,toyota,estima,2003,70250,2400,automatic,2,righthand,petrol
396,653,honda,stream,2005,100400,2000,automatic,2,righthand,petrol
397,655,honda,fit,2005,105892,1300,automatic,2,righthand,petrol
398,660,honda,fit,2001,82000,1330,automatic,2,righthand,petrol
399,660,honda,fit,2005,79000,1330,automatic,2,righthand,petrol
400,660,toyota,passo,2006,121000,990,automatic,2,righthand,petrol
401,660,nissan,sunny,2003,28000,1490,automatic,2,righthand,petrol
402,660,toyota,passo,2006,135000,990,automatic,2,righthand,petrol
403,660,nissan,march,2006,92000,1240,automatic,2,righthand,petrol
404,660,toyota,passo,2005,137000,990,automatic,2,righthand,petrol
405,660,daihatsu,terios kid,2001,176000,650,manual,4,righthand,petrol
